movie_rank,movie_name
1, 2001: A Space Odyssey (1968)
2, Blade Runner (1982)
3, Gattaca (1997)
4, Aliens (1986)
5, Metropolis (1927)
6, Close Encounters of the Third Kind (1977)
7, Star Wars: Episode V: The Empire Strikes Back (1980)
8, Star Trek II: The Wrath of Khan (1982)
9, The Terminator (1984)
10, Planet of the Apes (1968)
11, The Day the Earth Stood Still (1951)
12, Alien (1979)
13, RoboCop (1987)
14, Forbidden Planet (1956)
15, Wall-E (2008)
16, Logan's Run (1976)
17, Terminator 2: Judgment Day (1992)
18, Akira (1988)
19, Dark City (1998)
20, Children of Men (2006)
21, The Fly (1986)
22, A Trip to the Moon (1902)
23, Total Recall (1990)
24, Star Wars: Episode IV—A New Hope (1977)
25, The Matrix (1999)
26, Minority Report (2002)
27, District 9 (2009)
28, A Clockwork Orange (1971)
29, Tron (1982)
30, Sunshine (2007)
31, Mad Max (1979)
32, The Thing (1982)
33, Jurassic Park (1993)
34, Idiocracy (2006)
35, Primer (2004)
36, E
37, Ghost in the Shell (1995)
38, Solaris (1972)
39, Brazil (1985)
40, Gojira (1954)
41, Donnie Darko (2001)
42, Star Trek: First Contact (1996)
43, Back to the Future (1985)
44, The Man Who Fell to Earth (1976)
45, Enemy Mine (1985)
46, Soylent Green (1973)
47, Moon (2009)
48, Starship Troopers (1997)
49, A Scanner Darkly (2006)
50, Avatar (2009)
51, The Time Machine (1960)
52, The Andromeda Strain (1971)
53, Abre Los Ojos (1997)
54, Predator (1987)
55, Contact (1997)
56, Eternal Sunshine of the Spotless Mind (2004)
57, 1984 (1984)
58, When Worlds Collide (1951)
59, The Last Starfighter (1984)
60, Frankenstein (1931)
61, 12 Monkeys (1995)
62, Altered States (1980)
63, Invasion of the Body Snatchers (1978)
64, Destination Moon (1950)
65, Them! (1954)
66, Repo Man (1984)
67, THX-1138 (1971)
68, Sleeper (1973)
69, Inception (2010)
70, Alphaville (1965)
71, Rollerball (1975)
72, Day of the Triffids (1962)
73, Ikarie XB-1 (1963)
74, Star Trek IV: The Voyage Home (1986)
75, Dark Star (1974)
76, Outland (1981)
77, Scanners (1981)
78, Fahrenheit 451 (1966)
79, Fantastic Planet (1973)
80, Cube (1997)
81, Rise of the Planet of the Apes (2011)
82, Dreamscape (1984)
83, Stalker (1979)
84, Men in Black (1997)
85, Sleep Dealer (2008)
86, Starman (1984)
87, The Fountain (2006)
88, eXistenZ (1999)
89, Galaxy Quest (1999)
90, War of the Worlds (1953)
91, They Live (1988)
92, Silent Running (1972)
93, Escape From the Planet of the Apes (1971)
94, The Black Hole (1979)
95, Serenity (2005)
96, Westworld (1973)
97, City of Lost Children (1995)
98, Attack the Block (2011)
99, Splice (2009)
100, Escape From New York (1981)
