a,c,b,d
10,"3 bed 2 bath 3,820 sq ft",Tribeca,"$30,000/month"
9,"4 bed 4 bath 3,454 sq ft",Midtown East,"$34,000/month"
8,5 bed 52 bath,Upper East Side,"$35,000/month"
7,"7 bed 65 bath 4,500 sq ft",Upper West Side,"$35,000/month"
6,"3 bed 3 bath 2,849 sq ft",Flatiron District,"$38,000/month"
5,4 bed 45 bath,Theater District,"$60,000/month"
4,"5 bed 5 bath 7,200 sq ft",Upper East Side,"$75,000/month"
3,"1 bed 2 bath 1,075 sq ft",Upper East Side,"$90,000/month"
2,5 bed 4 bath,West Village,"$95,000/month"
1,5 bed 6 bath,Hell’s Kitchen,"$100,000/month"
